entity_id,domain,friendly_name,state,device_class,unit_of_measurement,area_id,area_name,device_id,device_name
update.home_assistant_supervisor_update,update,Home Assistant Supervisor Update,off,,,,,d390f2c0ab09c584b8f830ced056cfb5,Home Assistant Supervisor
update.home_assistant_core_update,update,Home Assistant Core Update,off,,,,,3a87dc16c891b83d77d05758f9e092a2,Home Assistant Core
update.samba_share_update,update,Samba share Update,off,,,,,244698254689887319507bc398027626,Samba share
update.mosquitto_broker_update,update,Mosquitto broker Update,off,,,,,12c3d4ad89d70cb6377d23ebdace6714,Mosquitto broker
update.zigbee2mqtt_update,update,Zigbee2MQTT Update,off,,,,,9a4859394902d0a2242729632151797c,Zigbee2MQTT
update.studio_code_server_update,update,Studio Code Server Update,off,,,,,a696386e081f9885ea6f4abd9b89a402,Studio Code Server
update.advanced_ssh_web_terminal_update,update,Advanced SSH & Web Terminal Update,off,,,,,472cb2cbf952d383fc2f8ac51b1d58fc,Advanced SSH & Web Terminal
update.git_pull_update,update,Git pull Update,off,,,,,7c618ad1ab6c90f58023688cca07fbc1,Git pull
update.govee_to_mqtt_bridge_update,update,Govee to MQTT Bridge Update,off,,,,,e647388ddc640d7c3f0b8c68890257d2,Govee to MQTT Bridge
update.radarr_update,update,Radarr Update,off,,,,,c4869c04b6c42fa3f2f2850390b20177,Radarr
update.home_assistant_operating_system_update,update,Home Assistant Operating System Update,off,,,,,e8d0133949b6666e577c381e660de682,Home Assistant Operating System
light.office_lights,light,Office Lights,on,,,office,Office,,
light.theater_lights,light,Theater Lights,off,,,theater,Theater,,
light.front_porch_lights,light,Front Porch Lights,off,,,front_door,,,
light.all_exterior_lights,light,All Exterior Lights,off,,,exterior,Exterior,,
light.all_lights,light,All Lights,on,,,,,,
light.garage_lights,light,Garage Lights,off,,,garage,,,
light.mainfloor_lights,light,Mainfloor Lights,off,,,mainfloor,,,
light.permanent_outdoor_lights_2,light,Permanent Outdoor Lights,off,,,,,,
scene.huskers_all_scarlet_base_2,scene,Huskers – All Scarlet (Base),unknown,,,,,,
zone.home,zone,Our Home,0,,,,,,
script.huskers_chase30_start,script,Huskers: Start 30s Cream Chase,off,,,,,,
script.huskers_chase30_loop,script,Huskers: 30s Cream Chase LOOP,off,,,,,,
script.huskers_chase30_stop,script,Huskers: Stop 30s Chase (restore),off,,,,,,
script.huskers_chase_speed_start,script,Huskers: Start Cream Chase (Variable-Speed),off,,,,,,
script.huskers_chase_speed_loop,script,Huskers: Cream Chase LOOP (Variable-Speed),off,,,,,,
script.huskers_chase_speed_stop,script,"Huskers: Stop Cream Chase (Variable-Speed, restore)",off,,,,,,
script.huskers_hail_burst_8s,script,Huskers: Hail Varsity Burst (8s BPM),off,,,,,,
script.kiosk_stop_all_huskers_shows,script,Kiosk: Stop All Huskers Shows,off,,,,,,
script.kiosk_all_lights_on,script,Kiosk: All Lights — ON,off,,,,,,
script.kiosk_all_lights_off,script,Kiosk: All Lights — OFF,off,,,,,,
script.kiosk_exterior_on,script,Kiosk: Exterior — ON,off,,,,,,
script.kiosk_exterior_off,script,Kiosk: Exterior — OFF,off,,,,,,
script.kiosk_theater_on,script,Kiosk: Theater — ON,off,,,,,,
script.kiosk_theater_off,script,Kiosk: Theater — OFF,off,,,,,,
script.kiosk_front_on,script,Kiosk: Front — ON,off,,,,,,
script.kiosk_front_off,script,Kiosk: Front — OFF,off,,,,,,
script.kiosk_garage_on,script,Kiosk: Garage — ON,off,,,,,,
script.kiosk_garage_off,script,Kiosk: Garage — OFF,off,,,,,,
script.kiosk_purifiers_on,script,Kiosk: Purifiers — ON,off,,,,,,
script.kiosk_purifiers_off,script,Kiosk: Purifiers — OFF,off,,,,,,
script.kiosk_plugs_on,script,Kiosk: Plugs — ON,off,,,,,,
script.kiosk_plugs_off,script,Kiosk: Plugs — OFF,off,,,,,,
script.kiosk_light_relays_on,script,Kiosk: Light Power Switches — ON,off,,,,,,
script.kiosk_light_relays_off,script,Kiosk: Light Power Switches — OFF,off,,,,,,
sensor.relative_humidity,sensor,Relative Humidity,68,humidity,%,,,,
sensor.solar_radiation,sensor,Solar Radiation,0,irradiance,W/m²,,,,
sensor.temperature,sensor,Temperature,77,temperature,°F,,,,
sensor.heat_index,sensor,Heat Index,78,temperature,°F,,,,
sensor.wind_chill,sensor,Wind Chill,77,temperature,°F,,,,
sensor.dew_point,sensor,Dew Point,66,temperature,°F,,,,
sensor.wind_speed,sensor,Wind Speed,1,wind_speed,mph,,,,
sensor.wind_gust,sensor,Wind Gust,2,wind_speed,mph,,,,
sensor.kneplatt72_pressure_trend_2,sensor,KNEPLATT72 Pressure Trend,steady,enum,,,,,
sensor.kneplatt72_temperature_trend,sensor,KNEPLATT72 Temperature Trend,rising,enum,,,,,
sensor.kneplatt72_humidity_trend,sensor,KNEPLATT72 Humidity Trend,falling,enum,,,,,
sensor.network_active_hosts_nmap,sensor,Network Active Hosts (Nmap),unavailable,,,,,,
sensor.network_clients_online_tp_link,sensor,Network Clients Online (TP-Link),unavailable,,,,,,
sensor.internet_connectivity_status,sensor,Internet Connectivity Status,unavailable,,,,,,
sensor.huskers_team_name,sensor,huskers_team_name,Nebraska Cornhuskers,,,,,,
sensor.huskers_opponent_name_2,sensor,huskers_opponent_name,Michigan Wolverines,,,,,,
sensor.huskers_team_score,sensor,huskers_team_score,0,,,,,,
sensor.huskers_opponent_score_2,sensor,huskers_opponent_score,0,,,,,,
sensor.huskers_quarter,sensor,Huskers Quarter,0,,,,,,
sensor.huskers_game_clock_ct_2,sensor,huskers_game_clock_ct,9/20 - 3:30 PM EDT,,,,,,
sensor.huskers_kickoff_time_ct_2,sensor,huskers_kickoff_time_ct,unavailable,,,,,,
sensor.huskers_kickoff_in_2,sensor,huskers_kickoff_in,0,,min,,,,
sensor.huskers_team_logo,sensor,huskers_team_logo,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,,,,,,
sensor.huskers_opponent_logo,sensor,huskers_opponent_logo,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,,,,,,
sensor.huskers_team_record,sensor,huskers_team_record,3-0,,,,,,
sensor.huskers_opponent_record,sensor,huskers_opponent_record,2-1,,,,,,
