entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.3_30_am_light_activation,automation,3:30 AM Light Activation,unavailable,,,,,friendly_name,3:30 AM Light Activation
automation.3_30_am_light_activation,automation,3:30 AM Light Activation,unavailable,,,,,id,early_morning_lights
automation.3_30_am_light_activation,automation,3:30 AM Light Activation,unavailable,,,,,restored,True
automation.3_30_am_light_activation,automation,3:30 AM Light Activation,unavailable,,,,,supported_features,0
automation.bedroom_purifier_off,automation,Bedroom-purifier-off,unavailable,,,,,friendly_name,Bedroom-purifier-off
automation.bedroom_purifier_off,automation,Bedroom-purifier-off,unavailable,,,,,id,1755305876272
automation.bedroom_purifier_off,automation,Bedroom-purifier-off,unavailable,,,,,restored,True
automation.bedroom_purifier_off,automation,Bedroom-purifier-off,unavailable,,,,,supported_features,0
automation.bedroom_purifier_on,automation,Bedroom-purifier on,unavailable,,,,,friendly_name,Bedroom-purifier on
automation.bedroom_purifier_on,automation,Bedroom-purifier on,unavailable,,,,,id,1755305842459
automation.bedroom_purifier_on,automation,Bedroom-purifier on,unavailable,,,,,restored,True
automation.bedroom_purifier_on,automation,Bedroom-purifier on,unavailable,,,,,supported_features,0
automation.early_morning_lights_03_30,automation,Lighting: Early Morning Gentle Wake (3:30 AM),on,,,,,current,0
automation.early_morning_lights_03_30,automation,Lighting: Early Morning Gentle Wake (3:30 AM),on,,,,,friendly_name,Lighting: Early Morning Gentle Wake (3:30 AM)
automation.early_morning_lights_03_30,automation,Lighting: Early Morning Gentle Wake (3:30 AM),on,,,,,id,early_morning_lights_0330
automation.early_morning_lights_03_30,automation,Lighting: Early Morning Gentle Wake (3:30 AM),on,,,,,last_triggered,2025-09-18T08:30:00.370959+00:00
automation.early_morning_lights_03_30,automation,Lighting: Early Morning Gentle Wake (3:30 AM),on,,,,,mode,single
automation.evening_lights_at_sunset,automation,Lighting: Evening Lights at Sunset,on,,,,,current,0
automation.evening_lights_at_sunset,automation,Lighting: Evening Lights at Sunset,on,,,,,friendly_name,Lighting: Evening Lights at Sunset
automation.evening_lights_at_sunset,automation,Lighting: Evening Lights at Sunset,on,,,,,id,evening_lights_at_sunset
automation.evening_lights_at_sunset,automation,Lighting: Evening Lights at Sunset,on,,,,,last_triggered,2025-09-15T00:43:06.234514+00:00
automation.evening_lights_at_sunset,automation,Lighting: Evening Lights at Sunset,on,,,,,mode,single
automation.exterior_led_monthly_effect,automation,LED: Monthly Effect Scheduler,on,,,,,current,0
automation.exterior_led_monthly_effect,automation,LED: Monthly Effect Scheduler,on,,,,,friendly_name,LED: Monthly Effect Scheduler
automation.exterior_led_monthly_effect,automation,LED: Monthly Effect Scheduler,on,,,,,id,exterior_led_monthly_effect
automation.exterior_led_monthly_effect,automation,LED: Monthly Effect Scheduler,on,,,,,last_triggered,2025-09-18T11:47:45.499006+00:00
automation.exterior_led_monthly_effect,automation,LED: Monthly Effect Scheduler,on,,,,,mode,single
