entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_big_defensive_play_detection,automation,Huskers: Big Defensive Play Detection,unavailable,,,,,friendly_name,Huskers: Big Defensive Play Detection
automation.huskers_big_defensive_play_detection,automation,Huskers: Big Defensive Play Detection,unavailable,,,,,id,huskers_big_defensive_play
automation.huskers_big_defensive_play_detection,automation,Huskers: Big Defensive Play Detection,unavailable,,,,,restored,True
automation.huskers_big_defensive_play_detection,automation,Huskers: Big Defensive Play Detection,unavailable,,,,,supported_features,0
automation.huskers_big_win_celebration_14_point_margin,automation,Huskers: Big Win Celebration (14+ point margin),unavailable,,,,,friendly_name,Huskers: Big Win Celebration (14+ point margin)
automation.huskers_big_win_celebration_14_point_margin,automation,Huskers: Big Win Celebration (14+ point margin),unavailable,,,,,id,huskers_big_win_celebration
automation.huskers_big_win_celebration_14_point_margin,automation,Huskers: Big Win Celebration (14+ point margin),unavailable,,,,,restored,True
automation.huskers_big_win_celebration_14_point_margin,automation,Huskers: Big Win Celebration (14+ point margin),unavailable,,,,,supported_features,0
automation.huskers_debug_exterior_brightness_change,automation,[Huskers Debug] Exterior brightness change,unavailable,,,,,friendly_name,[Huskers Debug] Exterior brightness change
automation.huskers_debug_exterior_brightness_change,automation,[Huskers Debug] Exterior brightness change,unavailable,,,,,id,huskers_debug_exterior_brightness_change
automation.huskers_debug_exterior_brightness_change,automation,[Huskers Debug] Exterior brightness change,unavailable,,,,,restored,True
automation.huskers_debug_exterior_brightness_change,automation,[Huskers Debug] Exterior brightness change,unavailable,,,,,supported_features,0
automation.huskers_debug_scene_activated,automation,[Huskers Debug] Scene activated,unavailable,,,,,friendly_name,[Huskers Debug] Scene activated
automation.huskers_debug_scene_activated,automation,[Huskers Debug] Scene activated,unavailable,,,,,id,huskers_debug_scene_activate
automation.huskers_debug_scene_activated,automation,[Huskers Debug] Scene activated,unavailable,,,,,restored,True
automation.huskers_debug_scene_activated,automation,[Huskers Debug] Scene activated,unavailable,,,,,supported_features,0
automation.huskers_debug_script_start,automation,[Huskers Debug] Script start,unavailable,,,,,friendly_name,[Huskers Debug] Script start
automation.huskers_debug_script_start,automation,[Huskers Debug] Script start,unavailable,,,,,id,huskers_debug_script_start
automation.huskers_debug_script_start,automation,[Huskers Debug] Script start,unavailable,,,,,restored,True
automation.huskers_debug_script_start,automation,[Huskers Debug] Script start,unavailable,,,,,supported_features,0
automation.huskers_debug_script_stop,automation,[Huskers Debug] Script stop,unavailable,,,,,friendly_name,[Huskers Debug] Script stop
automation.huskers_debug_script_stop,automation,[Huskers Debug] Script stop,unavailable,,,,,id,huskers_debug_script_stop
automation.huskers_debug_script_stop,automation,[Huskers Debug] Script stop,unavailable,,,,,restored,True
automation.huskers_debug_script_stop,automation,[Huskers Debug] Script stop,unavailable,,,,,supported_features,0
automation.huskers_debug_theater_color_change,automation,[Huskers Debug] Theater color change,unavailable,,,,,friendly_name,[Huskers Debug] Theater color change
automation.huskers_debug_theater_color_change,automation,[Huskers Debug] Theater color change,unavailable,,,,,id,huskers_debug_theater_color_change
automation.huskers_debug_theater_color_change,automation,[Huskers Debug] Theater color change,unavailable,,,,,restored,True
automation.huskers_debug_theater_color_change,automation,[Huskers Debug] Theater color change,unavailable,,,,,supported_features,0
automation.huskers_enhanced_postgame_cleanup,automation,Huskers: Enhanced Postgame Cleanup,unavailable,,,,,friendly_name,Huskers: Enhanced Postgame Cleanup
