entity_id,domain,friendly_name,state,device_class,unit_of_measurement
update.home_assistant_supervisor_update,update,Home Assistant Supervisor Update,off,,
update.home_assistant_core_update,update,Home Assistant Core Update,off,,
update.samba_share_update,update,Samba share Update,off,,
update.mosquitto_broker_update,update,Mosquitto broker Update,off,,
update.zigbee2mqtt_update,update,Zigbee2MQTT Update,off,,
update.studio_code_server_update,update,Studio Code Server Update,off,,
update.advanced_ssh_web_terminal_update,update,Advanced SSH & Web Terminal Update,off,,
update.git_pull_update,update,Git pull Update,off,,
update.govee_to_mqtt_bridge_update,update,Govee to MQTT Bridge Update,off,,
update.home_assistant_operating_system_update,update,Home Assistant Operating System Update,off,,
scene.huskers_scarlet_theater,scene,Huskers Scarlet (Theater),2025-08-25T22:07:28.543403+00:00,,
scene.huskers_cream_theater,scene,Huskers Cream (Theater),2025-08-25T22:07:32.128114+00:00,,
scene.huskers_alternating_exterior,scene,Huskers Alternating (Exterior),2025-08-25T23:00:00.393624+00:00,,
scene.huskers_alternating_inverted_exterior,scene,Huskers Alternating Inverted (Exterior),2025-08-25T22:07:21.054257+00:00,,
light.office_lights,light,Office Lights,off,,
light.theater_lights,light,Theater Lights,on,,
light.front_porch_lights,light,Front Porch Lights,on,,
light.all_exterior_lights,light,All Exterior Lights,on,,
light.all_lights,light,All Lights,on,,
light.garage_lights,light,Garage Lights,on,,
light.mainfloor_lights,light,Mainfloor Lights,on,,
zone.home,zone,Our Home,0,,
script.huskers_theater_show_start,script,Huskers: Theater Show (Start),off,,
script.huskers_theater_show_stop,script,Huskers: Theater Show (Stop),off,,
script.huskers_exterior_show_start,script,Huskers: Exterior Show (Start),off,,
script.huskers_exterior_show_stop,script,Huskers: Exterior Show (Stop),off,,
script.huskers_touchdown_burst,script,Huskers: Theater Touchdown Burst,off,,
script.huskers_exterior_touchdown_burst,script,Huskers: Exterior Touchdown Burst,off,,
script.huskers_test_score_update,script,Huskers: 🧪 Simulate Score + Burst,off,,
script.huskers_led_gameday_start,script,Huskers: Game-Day LED (Start),off,,
script.huskers_led_stop,script,Huskers: Stop LED Effect (Restore Previous),off,,
script.huskers_td_burst_bpm_theater,script,Huskers: TD Burst BPM (Theater),off,,
script.huskers_td_burst_bpm_exterior,script,Huskers: TD Burst BPM (Exterior),off,,
script.huskers_all_events_manual,script,Huskers: Run All (Manual),off,,
script.huskers_rehearse_tminus20,script,Huskers: Rehearse T-20,off,,
script.huskers_rehearse_td,script,Huskers: Rehearse TD (+1),off,,
script.huskers_cleanup_all,script,Huskers: Cleanup (Stop All),off,,
script.huskers_led_td_burst,script,Huskers: LED TD Burst,off,,
script.huskers_all_events_manual2,script,Huskers: Run All (Manual),off,,
input_number.huskers_our_score,input_number,Nebraska Score,0.0,,
input_number.huskers_opponent_score,input_number,Opponent Score,0.0,,
input_number.huskers_hail_varsity_bpm,input_number,Huskers Hail Varsity BPM,156.0,,bpm
input_number.huskers_kickoff_in_manual,input_number,Huskers Kickoff In (Manual),20.0,,min
input_number.huskers_our_score_manual,input_number,Huskers Our Score (Manual),10.0,,
sensor.kneplatt72_wind_speed_24h_avg,sensor,KNEPLATT72 Wind Speed (24h Avg),unavailable,,
sensor.kneplatt72_temperature_24h_mean,sensor,KNEPLATT72 Temperature (24h Mean),unavailable,,
sensor.kneplatt72_humidity_24h_mean,sensor,KNEPLATT72 Humidity (24h Mean),unavailable,,
sensor.kneplatt72_pressure_24h_change,sensor,KNEPLATT72 Pressure (24h Change),unavailable,,
sensor.kneplatt72_pressure_trend_2,sensor,KNEPLATT72 Pressure Trend,unknown,,
sensor.nmap_active_hosts,sensor,Nmap Active Hosts,0,,
sensor.nmap_known_hosts,sensor,Nmap Known Hosts,0,,
sensor.tp_link_clients_online,sensor,TP-Link Clients Online,0,,
sensor.internet_status_2,sensor,Internet Status,Offline,,
sensor.huskers_next_game_start,sensor,Huskers Next Game Start,unavailable,,
sensor.huskers_next_game_status,sensor,Huskers Next Game Status,idle,,
sensor.huskers_kickoff_in,sensor,Huskers Kickoff In,unknown,,min
binary_sensor.huskers_pregame_window,binary_sensor,Huskers Pregame Window,off,,
binary_sensor.huskers_postgame_window,binary_sensor,Huskers Postgame Window,off,,
binary_sensor.huskers_game_in_progress_tt,binary_sensor,Huskers Game In Progress (TT),off,,
sensor.huskers_kickoff_in_effective,sensor,Huskers Kickoff In (Effective),20.0,,min
sensor.huskers_our_score_effective,sensor,Huskers Our Score (Effective),10,,
input_text.huskers_theater_prev_scripts,input_text,Huskers Theater Prev Scripts,,,
